Manufacturer,Model,Type,Fibre Quantity,Construction,Armor,Diameter,Sag Allowance,Helix Factor,Fibre Number Scheme,Bundle Number Scheme,Name
NTL,LITETUBE,Other,52,Loose Tube,PSP,,,,Default,Default,NTL/52F/Other/PSP
NTL,LITETUBE,Other,92,Loose Tube,PSP,,,,Default,Default,NTL/92F/Other/PSP
NTL,LITETUBE,Other,104,Loose Tube,PSP,,,,Default,Default,NTL/104F/Other/PSP
SIECOR,LITETUBE,Other,144,Loose Tube,PSP,,,,Default,Default,SIECOR/144F/Other/PSP
SIECOR,MAXI-BUNDLE,Other,6,Loose Tube,Unknown,,,,Default,Default,SIECOR/6F/Other/Unknown
CORNING,OLT 3,Gel-Free,432,Loose Tube,PDP,,,,Default,Default,CORNING/432F/Gel-Free/PDP
DRAKA,RegMD2,Other,8,Micro Unitube,SP,9.8,,,Default,Default,DRAKA/8F/Other/SP
DRAKA,RegMD2,Other,12,Micro Unitube,SP,9.8,,,Default,Default,DRAKA/12F/Other/SP
NTL,TUBESTAR,Other,36,Loose Tube,PSP,,,,Default,Default,NTL/36F/Other/PSP
NTL,TUBESTAR,Other,48,Loose Tube,PSP,,,,Default,Default,NTL/48F/Other/PSP
NTL,TUBESTAR,Other,72,Loose Tube,PSP,,,,Default,Default,NTL/72F/Other/PSP
NTL,TUBESTAR,Other,72,Loose Tube,PSP,,,,Default,Default,NTL/72F/Other/PSP
NTL,TUBESTAR,Other,72,Loose Tube,PSP,,,,Default,Default,NTL/72F/Other/PSP
NTL,TUBESTAR,Other,16,Loose Tube,PSPSP,,,,Default,Default,NTL/16F/Other/PSPSP
NTL,TUBESTAR,Other,48,Loose Tube,PSPSP,,,,Default,Default,NTL/48F/Other/PSPSP
ALCATEL,Not Provided,Other,24,LOOSETUBE,PDP,,,,Default,Default,ALCATEL/24F/Other/PDP
ALCATEL,Not Provided,Other,192,LOOSETUBE,PDP,,,,Default,Default,ALCATEL/192F/Other/PDP
ALCATEL,Not Provided,Other,228,LOOSETUBE,PDP,,,,Default,Default,ALCATEL/228F/Other/PDP
ALCATEL,Not Provided,Gel-Filled,12,UNITUBE,PDP,,,,Default,Default,ALCATEL/12F/Gel-Filled/PDP
ALCATEL,Not Provided,Gel-Filled,12,UNITUBE,PDP,,,,Default,Default,ALCATEL/12F/Gel-Filled/PDP
ALCATEL,Not Provided,Gel-Filled,24,UNITUBE,PDP,,,,Default,Default,ALCATEL/24F/Gel-Filled/PDP
ALCATEL,Not Provided,Gel-Filled,36,UNITUBE,PDP,,,,Default,Default,ALCATEL/36F/Gel-Filled/PDP
ALCATEL,Not Provided,Other,36,UNITUBE,PDP,,,,Default,Default,ALCATEL/36F/Other/PDP
ALCATEL,Not Provided,Other,8,Loose Tube,PSP,,,,Default,Default,ALCATEL/8F/Other/PSP
ALCATEL,Not Provided,Other,12,Loose Tube,PSP,,,,Default,Default,ALCATEL/12F/Other/PSP
ALCATEL,Not Provided,Other,56,Loose Tube,PSP,,,,Default,Default,ALCATEL/56F/Other/PSP
ALCATEL,Not Provided,Other,72,Loose Tube,PSP,,,,Default,Default,ALCATEL/72F/Other/PSP
SIECOR,Not Provided,Other,108,Loose Tube,PSP,,,,Default,Default,SIECOR/108F/Other/PSP
ALCATEL,Not Provided,Other,6,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/6F/Other/PSP
ALCATEL,Not Provided,Other,6,LOOSETUBE,PSP,,,,Default,Default,ALCATEL/6F/Other/PSP
